topic	num_paragraphs	num_questions
Green	27	229
Near_East	59	229
Central_African_Republic	23	230
Atlantic_City,_New_Jersey	47	230
Bird	62	230
Compact_disc	25	230
Everton_F.C.	24	230
Separation_of_powers_under_the_United_States_Constitution	29	230
Swaziland	27	231
Flowering_plant	24	232
Construction	22	232
Tennessee	50	232
Super_Nintendo_Entertainment_System	24	233
Botany	51	233
Pope_John_XXIII	25	234
Nonprofit_organization	24	235
Communications_in_Somalia	25	235
Samurai	50	235
USB	66	235
Ministry_of_Defence_(United_Kingdom)	25	236
Asthma	25	236
Canadian_football	21	236
Saint_Barth%C3%A9lemy	24	236
Child_labour	61	236
ASCII	26	237
St._John%27s,_Newfoundland_and_Labrador	31	238
Rajasthan	24	239
Elevator	52	239
Philadelphia	59	239
Hokkien	21	239
Royal_Institute_of_British_Architects	27	239
Orthodox_Judaism	25	240
Private_school	26	240
Muslim_world	27	241
Armenia	57	241
United_States_Air_Force	57	241
Sony_Music_Entertainment	35	242
Empiricism	25	242
Pesticide	26	242
Guinea-Bissau	50	243
Armenians	25	243
Pharmacy	26	244
Royal_Dutch_Shell	25	245
Political_party	27	245
Hindu_philosophy	25	245
Bird_migration	56	245
Political_philosophy	21	245
Professional_wrestling	61	245
National_Archives_and_Records_Administration	28	246
The_Sun_(United_Kingdom)	49	246
John_Kerry	52	246
Marvel_Comics	25	247
Cyprus	59	247
Egypt	64	247
Victoria_(Australia)	25	247
Montevideo	70	247
Samoa	25	248
Hard_rock	25	249
Geological_history_of_Earth	26	249
Glass	26	249
Solar_energy	52	249
FC_Barcelona	50	249
Dutch_language	51	250
Valencia	51	250
Punjab,_Pakistan	26	250
John,_King_of_England	76	250
New_Delhi	52	253
European_Central_Bank	28	253
Nigeria	55	254
Imperial_College_London	25	255
1973_oil_crisis	24	255
Humanism	30	256
Xbox_360	26	256
United_States_presidential_election,_2004	26	257
Film_speed	26	258
Group_(mathematics)	30	259
Carnival	52	259
Aspirated_consonant	34	259
Ann_Arbor,_Michigan	35	260
Hyderabad	53	260
Association_football	28	260
Seattle	52	260
IBM	26	260
Party_leaders_of_the_United_States_House_of_Representatives	31	261
On_the_Origin_of_Species	59	261
Harvard_University	30	262
Spanish_language_in_the_United_States	23	262
Arena_Football_League	55	262
Thuringia	29	264
Sahara	25	265
Planck_constant	24	265
Comcast	27	266
The_Bronx	57	267
Education	35	267
Queen_(band)	59	269
University_of_Notre_Dame	55	269
Estonian_language	33	269
States_of_Germany	24	270
Oklahoma	55	271
Pope_Paul_VI	55	271
Database	32	272
Daylight_saving_time	63	273
Sumer	32	274
Endangered_Species_Act	31	274
Fresno,_California	28	275
Indigenous_peoples_of_the_Americas	56	275
Sanskrit	22	275
Nutrition	56	275
Marshall_Islands	51	276
Szlachta	63	276
Kathmandu	58	276
Translation	29	277
Idealism	29	278
A_cappella	23	278
Czech_language	28	279
Gene	56	279
Labour_Party_(UK)	41	280
Treaty	57	281
Iran	60	282
Vacuum	31	282
Predation	26	282
Amazon_rainforest	21	284
Genocide	26	284
Energy	33	284
Textual_criticism	32	286
Black_people	61	286
Economy_of_Greece	29	287
Franco-Prussian_War	58	287
Crimean_War	62	287
Renewable_energy_commercialization	40	289
MP3	62	289
Infection	30	290
Russian_language	31	290
Unicode	33	290
Richmond,_Virginia	61	291
Sino-Tibetan_relations_during_the_Ming_dynasty	72	291
Pain	33	292
Sexual_orientation	53	292
Norfolk_Island	30	292
Memory	32	292
51st_state	32	293
God	24	293
British_Empire	60	293
Cubism	39	294
Guam	36	295
United_States_Army	34	296
Israel	99	297
North_Carolina	61	297
Estonia	72	298
Antibiotics	26	298
Tuberculosis	31	298
Dissolution_of_the_Soviet_Union	67	299
Tuvalu	61	299
Cotton	30	300
Seven_Years%27_War	61	301
Antenna_(radio)	74	302
Biodiversity	32	302
Tajikistan	34	302
Richard_Feynman	32	304
Copper	31	304
BeiDou_Navigation_Satellite_System	34	305
Chihuahua_(state)	66	306
Somalis	71	306
East_India_Company	31	307
Prime_number	31	308
Jews	36	308
History_of_science	67	309
Florida	35	309
Melbourne	64	310
Poultry	31	310
Mosaic	64	311
University	27	311
Nanjing	66	312
Classical_music	68	313
Hunter-gatherer	34	313
Madrasa	35	313
Saint_Helena	82	313
Annelid	35	314
FA_Cup	32	316
Railway_electrification_system	34	316
Kievan_Rus%27	39	317
Presbyterianism	38	317
Crucifixion_of_Jesus	32	318
Umayyad_Caliphate	35	318
United_States_dollar	32	319
Adolescence	78	320
Strasbourg	34	321
Tibet	39	322
Cardinal_(Catholicism)	45	322
Han_dynasty	65	323
Comics	37	323
Germans	32	324
Southern_California	39	324
YouTube	34	324
Qing_dynasty	81	324
Ctenophora	31	325
Alexander_Graham_Bell	74	325
Josip_Broz_Tito	67	325
Race_(human_categorization)	65	325
Printed_circuit_board	35	325
IPod	60	327
Civil_disobedience	26	327
Wood	70	328
Detroit	79	330
Law_of_the_United_States	27	332
Somerset	37	332
Raleigh,_North_Carolina	34	332
Sichuan	26	332
Arsenal_F.C.	34	334
Royal_assent	38	335
Aircraft_carrier	34	337
Federalism	38	338
Republic_of_the_Congo	39	338
Myanmar	73	339
Beer	34	339
Police	36	339
University_of_Kansas	36	340
Anti-aircraft_warfare	70	340
Catalan_language	80	340
Ottoman_Empire	69	340
Washington_University_in_St._Louis	35	341
Insect	60	343
Architecture	38	344
Zinc	38	344
Russian_Soviet_Federative_Socialist_Republic	34	345
Alps	87	346
Age_of_Enlightenment	83	347
Korean_War	75	348
Madonna_(entertainer)	76	349
Boston	79	350
Post-punk	22	352
Asphalt	36	352
Switzerland	77	353
War_on_Terror	31	356
University_of_Chicago	37	356
Pub	90	356
Scottish_Parliament	39	357
British_Isles	34	357
London	77	359
Namibia	38	359
Geology	25	362
Electric_motor	42	363
Capacitor	37	364
Imperialism	39	364
Computer_security	25	365
Mary_(mother_of_Jesus)	41	366
Literature	23	366
Zhejiang	38	367
Plymouth	81	367
Universal_Studios	42	368
Protestantism	75	369
Tucson,_Arizona	52	370
Paper	32	371
Copyright_infringement	39	371
Molotov%E2%80%93Ribbentrop_Pact	44	371
Packet_switching	23	373
Dialect	44	373
Eton_College	43	374
The_Legend_of_Zelda:_Twilight_Princess	32	374
Gothic_architecture	40	375
Emotion	44	375
Athanasius_of_Alexandria	36	377
Force	44	377
Anthropology	45	378
Department_store	40	378
Nintendo_Entertainment_System	44	383
Edmund_Burke	40	383
Islamism	39	384
Light-emitting_diode	43	385
Uranium	41	385
Eritrea	40	386
Brigham_Young_University	37	386
Buckingham_Palace	28	388
History_of_India	78	389
Paris	94	389
Financial_crisis_of_2007%E2%80%9308	79	390
Pacific_War	71	390
Mexico_City	87	390
Karl_Popper	43	391
Roman_Republic	82	392
Late_Middle_Ages	40	392
Dog	75	392
Incandescent_light_bulb	42	393
High-definition_television	46	394
Canadian_Armed_Forces	46	396
Quran	43	396
Neptune	36	399
Separation_of_church_and_state_in_the_United_States	41	402
Time	29	402
French_and_Indian_War	46	402
Cork_(city)	30	404
Gramophone_record	85	404
Religion_in_ancient_Rome	81	405
Greece	95	406
Westminster_Abbey	46	411
Dominican_Order	44	413
Military_history_of_the_United_States	42	414
The_Blitz	92	414
Oxygen	43	415
Computational_complexity_theory	48	418
House_music	44	420
European_Union_law	40	421
Capital_punishment_in_the_United_States	47	422
Dell	45	424
Huguenot	44	424
Alaska	48	426
Southampton	95	426
Northwestern_University	44	427
Portugal	98	427
Kanye_West	79	428
Red	48	429
Dwight_D._Eisenhower	90	430
Elizabeth_II	45	431
Jehovah%27s_Witnesses	46	433
Gamal_Abdel_Nasser	95	433
Bermuda	47	434
Napoleon	89	436
Miami	45	436
Slavs	49	437
Avicenna	35	440
Hellenistic_period	94	440
Affirmative_action_in_the_United_States	48	440
Federal_Bureau_of_Investigation	45	441
Windows_8	48	442
Freemasonry	37	444
Steam_engine	46	444
Yuan_dynasty	47	445
Mandolin	43	446
Modern_history	88	448
Yale_University	46	452
Middle_Ages	93	452
Immune_system	49	458
Greeks	44	458
Spectre_(2015_film)	43	462
San_Diego	49	475
Multiracial_American	44	481
Muammar_Gaddafi	76	485
Warsaw	49	486
Macintosh	49	487
Charleston,_South_Carolina	48	490
Rhine	44	498
2008_Summer_Olympics_torch_relay	74	500
Alfred_North_Whitehead	47	502
PlayStation_3	44	508
Steven_Spielberg	49	512
Economic_inequality	44	515
Houston	48	521
2008_Sichuan_earthquake	77	521
Antarctica	44	525
Hunting	36	531
Premier_League	40	551
New_Haven,_Connecticut	66	582
Pharmaceutical_industry	44	586
Buddhism	149	610
Frédéric_Chopin	82	697
Beyoncé	66	753
American_Idol	127	790
New_York_City	148	817
Queen_Victoria	42	883
